codigo;descripcion
K75.0;ABSCESO DEL HÍGADO
J96.9;INSUFICIENCIA RESPIRATORIA, NO ESPECIFICADA
E87.0;HIPEROSMOLARIDAD E HIPERNATREMIA
R41.8;OTROS SINT. Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSC.Y LA CONCIENCIA Y LOS NO ESPECIFIC.
R94.3;RESULTADOS ANORMALES EN ESTUDIOS FUNCIONALES CARDIOVASCULARES
K62.5;HEMORRAGIA DEL ANO Y DEL RECTO
X84;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS
D69.6;TROMBOCITOPENIA NO ESPECIFICADA
R06.8;OTRAS ANORMALIDADES DE LA RESPIRACION Y LAS NO ESPECIFICADAS
I44.3;OTROS TIPOS DE BLOQUEO AURICULOVENTRICULAR Y LOS NO ESPECIFICADOS
E87.2;ACIDOSIS
J96.0;INSUFICIENCIA RESPIRATORIA AGUDA
I24.9;ENFERMEDAD ISQUEMICA AGUDA DEL CORAZÓN, NO ESPECIFICADA
R55;SINCOPE Y COLAPSO
R51;CEFALEA
I66.3;OCLUSION Y ESTENOSIS DE ARTERIAS CEREBELOSAS
J10.1;INFLUENZA CON OTRAS MANIFESTACIONES RESPIRATORIAS, DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J44.1;ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON EXACERBACION AGUDA, NO ESPECIFICADA
G96.0;PERDIDA DE LIQUIDO CEFALORRAQUIDEO
K35.3;APENDICITIS AGUDA CON PERITONITIS LOCALIZADA
S06.5;HEMORRAGIA SUBDURAL TRAUMATICA
R56.8;OTRAS CONVULSIONES Y LAS NO ESPECIFICADAS
M00.9;ARTRITIS PIÓGENA, NO ESPECIFICADA
E87.5;HIPERPOTASEMIA, INFECCION DE VÍAS URINARIAS
N17.9;INSUFICIENCIA RENAL AGUDA, NO ESPECIFICADA
J81;EDEMA PULMÓNAR
K26.1;ULCERA DUODENAL AGUDA CON PERFORACION
Z51.5;ATENCION PALIATIVA,
R10;DISARTRIA Y ANARTRIA
R26.0;DOLOR ABDOMINAL Y PELVICO
R47.1;MARCHA ATAXICA
R45.1;INQUIETUD Y AGITACION
G03;MENINGITIS DEBIDA A OTRAS CAUSAS Y A LAS NO ESPECIFICADAS
G95.2;COMPRESION MEDULAR, NO ESPECIFICADA
I63;INFARTO CEREBRAL
E87.1;HIPOSMOLARIDAD E HIPONATREMIA
I31.3;DERRAME PERICARDICO (NO INFLAMATORIO)
W34;DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS
R40.0;EFECTO ADVERSO NO ESPECIFICADO DE DROGA O MEDICAMENTO
T88.7;SOMNOLENCIA
B02.1;MENINGITIS DEBIDA A HERPES ZOSTER
K65.0;PERITONITIS AGUDA
T78.2;CHOQUE ANAFILACTICO, NO ESPECIFICADO
R27.0;ATAXIA, NO ESPECIFICADA
J44.9;ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA
E88.3;SÍNDROME DE LISIS TUMORAL
N18.9;ENFERMEDAD RENAL CRONICA, NO ESPECIFICADA
R20.1;HIPOESTESIA DE LA PIEL
J45.9;ASMA, NO ESPECIFICADO
M62.8;OTROS TRASTORNOS ESPECIFICADOS DE LOS MÚSCULOS
D64.9;ANEMIA DE TIPO NO ESPECIFICADO
K35.8;OTRAS APENDICITIS AGUDAS Y LAS NO ESPECIFICADAS
